Trial,Stimulation,NeuronID,Target,DirectConn,SynW,InRange,Distance,PosX,PosY,Activation
0,False,1,0,0,0.0,0,0.6879957871004246,-0.4864864864864865,0.4864864864864865,1
0,False,2,0,0,0.0,0,0.6691577515210783,-0.4864864864864865,0.45945945945945943,0
0,False,3,0,0,0.0,0,0.6508970042590431,-0.4864864864864865,0.43243243243243246,0
0,False,4,0,0,0.0,0,0.6332634872356747,-0.4864864864864865,0.4054054054054054,0
0,False,5,0,0,0.0,0,0.6163110405941287,-0.4864864864864865,0.3783783783783784,0
0,False,6,0,0,0.0,0,0.6000973867885004,-0.4864864864864865,0.3513513513513513,0
0,False,7,0,0,0.0,0,0.584683990615782,-0.4864864864864865,0.32432432432432434,2
0,False,8,0,0,0.0,0,0.570135759722405,-0.4864864864864865,0.29729729729729726,0
0,False,9,0,0,0.0,0,0.5565205481614595,-0.4864864864864865,0.2702702702702703,1
0,False,10,0,0,0.0,0,0.5439084269594083,-0.4864864864864865,0.24324324324324323,0
0,False,11,0,0,0.0,0,0.5323706919889787,-0.4864864864864865,0.2162162162162162,1
0,False,12,0,0,0.0,0,0.5219785923196748,-0.4864864864864865,0.18918918918918917,2
0,False,13,0,0,0.0,0,0.5128017827300075,-0.4864864864864865,0.16216216216216214,2
0,False,14,0,0,0.0,0,0.5049065322234975,-0.4864864864864865,0.13513513513513511,0
0,False,15,0,0,0.0,0,0.4983537544482642,-0.4864864864864865,0.10810810810810809,2
0,False,16,0,0,0.0,0,0.4931969619160719,-0.4864864864864865,0.08108108108108106,1
0,False,17,0,0,0.0,0,0.4894802777371577,-0.4864864864864865,0.05405405405405403,1
0,False,18,0,0,0.0,0,0.48723665884648504,-0.4864864864864865,0.027027027027027,1
0,False,19,0,0,0.0,0,0.4864864864864865,-0.4864864864864865,-2.7755575615628914e-17,3
0,False,20,0,0,0.0,0,0.48723665884648504,-0.4864864864864865,-0.027027027027027112,3
0,False,21,0,0,0.0,0,0.4894802777371577,-0.4864864864864865,-0.054054054054054085,0
0,False,22,0,0,0.0,0,0.4931969619160719,-0.4864864864864865,-0.08108108108108106,2
0,False,23,0,0,0.0,0,0.4983537544482642,-0.4864864864864865,-0.10810810810810814,1
0,False,24,0,0,0.0,0,0.5049065322234975,-0.4864864864864865,-0.13513513513513523,1
0,False,25,0,0,0.0,0,0.5128017827300075,-0.4864864864864865,-0.1621621621621622,2
0,False,26,0,0,0.0,0,0.5219785923196747,-0.4864864864864865,-0.18918918918918917,1
0,False,27,0,0,0.0,0,0.5323706919889787,-0.4864864864864865,-0.21621621621621626,0
0,False,28,0,0,0.0,0,0.5439084269594083,-0.4864864864864865,-0.24324324324324334,0
0,False,29,0,0,0.0,0,0.5565205481614595,-0.4864864864864865,-0.2702702702702703,1
0,False,30,0,0,0.0,0,0.570135759722405,-0.4864864864864865,-0.29729729729729726,2
0,False,31,0,0,0.0,0,0.584683990615782,-0.4864864864864865,-0.32432432432432434,0
0,False,32,0,0,0.0,0,0.6000973867885006,-0.4864864864864865,-0.3513513513513514,0
0,False,33,0,0,0.0,0,0.6163110405941287,-0.4864864864864865,-0.3783783783783784,1
0,False,34,0,0,0.0,0,0.6332634872356747,-0.4864864864864865,-0.4054054054054054,0
0,False,35,0,0,0.0,0,0.6508970042590431,-0.4864864864864865,-0.43243243243243246,0
0,False,36,0,0,0.0,0,0.6691577515210783,-0.4864864864864865,-0.45945945945945954,0
0,False,37,0,0,0.0,0,0.6879957871004246,-0.4864864864864865,-0.4864864864864865,1
0,False,38,0,0,0.0,0,0.6691577515210783,-0.45945945945945943,0.4864864864864865,0
0,False,39,0,0,0.0,0,0.6497737989281788,-0.45945945945945943,0.45945945945945943,1
0,False,40,0,0,0.0,0,0.6309522989150677,-0.45945945945945943,0.43243243243243246,0
0,False,41,0,0,0.0,0,0.6127450837164666,-0.45945945945945943,0.4054054054054054,0
0,False,42,0,0,0.0,0,0.5952085282579794,-0.45945945945945943,0.3783783783783784,1
0,False,43,0,0,0.0,0,0.5784036367306133,-0.45945945945945943,0.3513513513513513,0
0,False,44,0,0,0.0,0,0.5623960012617516,-0.45945945945945943,0.32432432432432434,0
0,False,45,0,0,0.0,0,0.5472555873328807,-0.45945945945945943,0.29729729729729726,1
0,False,46,0,0,0.0,0,0.5330562952247573,-0.45945945945945943,0.2702702702702703,0
0,False,47,0,0,0.0,0,0.5198752449100363,-0.45945945945945943,0.24324324324324323,1
0,False,48,0,0,0.0,0,0.5077917358934037,-0.45945945945945943,0.2162162162162162,0
0,False,49,0,0,0.0,0,0.4968858462391955,-0.45945945945945943,0.18918918918918917,1
0,False,50,0,0,0.0,0,0.487236658846485,-0.45945945945945943,0.16216216216216214,0
0,False,51,0,0,0.0,0,0.4789201390991716,-0.45945945945945943,0.13513513513513511,0
0,False,52,0,0,0.0,0,0.47200673504251295,-0.45945945945945943,0.10810810810810809,0
0,False,53,0,0,0.0,0,0.46655882436843427,-0.45945945945945943,0.08108108108108106,1
0,False,54,0,0,0.0,0,0.4626281829357754,-0.45945945945945943,0.05405405405405403,1
0,False,55,0,0,0.0,0,0.4602536855655784,-0.45945945945945943,0.027027027027027,1
0,False,56,0,0,0.0,0,0.45945945945945943,-0.45945945945945943,-2.7755575615628914e-17,0
0,False,57,0,0,0.0,0,0.4602536855655784,-0.45945945945945943,-0.027027027027027112,1
0,False,58,0,0,0.0,0,0.4626281829357754,-0.45945945945945943,-0.054054054054054085,1
0,False,59,0,0,0.0,0,0.46655882436843427,-0.45945945945945943,-0.08108108108108106,1
